birthYear, deathYear
1886, 1953 
1930, 2013 
1938, 2010 
1923, 2004 
1879, 1920 
1914, 1969 
1935, 2014 
1844, 1880 
1978, 2011 
1910, 1979 
1907, 2001 
1777, 1857 
1969, 2011 
1918, 1982 
1951, 2009 
1920, 2010 
1918, 1985 
1842, 1919 
1899, 1982 
1895, 1987 
1887, 1966 
1916, 2002 
1894, 1973 
1932, 2001 
1914, 1986 
1959, 2013 
1911, 1975 
1919, 1992 
1930, 2012 
1861, 1952 
1859, 1943 
1924, 1972 
1874, 1954 
1931, 2009 
1942, 2002 
1892, 1951 
1847, 1893 
1867, 1943 
1899, 1980 
1906, 1996 
1937, 2011 
1914, 1998 
1932, 2013 
1916, 1983 
1891, 1970 
1908, 1984 
1867, 1933 
1870, 1938 
1883, 1959 
1932, 2005 
1866, 1957 
1966, 1987 
1970, 2007 
1911, 1998 
1898, 1965 
1878, 1957 
1947, 2015 
1864, 1940 
1795, 1875 
1933, 2002 
1882, 1918 
1668, 1722 
1857, 1900 
1940, 2013 
1941, 1971 
1924, 2011 
1930, 2011 
1932, 2001 
1921, 1999 
1939, 1981 
1932, 1995 
1948, 2006 
1924, 1986 
1927, 2009 
1892, 1967 
1913, 1942 
1869, 1917 
1946, 1990 
1867, 1943 
1955, 1985 
1973, 2014 
1901, 1962 
1896, 1984 
1870, 1956 
1866, 1921 
1916, 2008 
1943, 2006 
1893, 1972 
1914, 2010 
1955, 2008 
1867, 1958 
1875, 1928 
1948, 2007 
1916, 1984 
1872, 1938 
1967, 2005 
1883, 1949 
1898, 1937 
1929, 2008 
1839, 1922 
1934, 1972 
1866, 1934 
1906, 1988 
1908, 1975 
1936, 2001 
1930, 2009 
1938, 2008 
1875, 1952 
1937, 2014 
1927, 1996 
1973, 2002 
1910, 1976 
1882, 1959 
1987, 2013 
1885, 1974 
1890, 1945 
1894, 1978 
1838, 1926 
1871, 1971 
1866, 1952 
1874, 1922 
1956, 1992 
1868, 1942 
1935, 2014 
1916, 2008 
1939, 2015 
1869, 1914 
1929, 2000 
1797, 1875 
1825, 1897 
1919, 2002 
1957, 2014 
1868, 1955 
1925, 1996 
1899, 1981 
1872, 1928 
1948, 2004 
1902, 1957 
1872, 1955 
1852, 1921 
1893, 1975 
1932, 2001 
1761, 1821 
1905, 1982 
1887, 1959 
1936, 1998 
1919, 2003 
1960, 2015 
1851, 1924 
1935, 2012 
1928, 2006 
1925, 1991 
1895, 1920 
1928, 2009 
1873, 1938 
1936, 2005 
1873, 1948 
1895, 1985 
1773, 1815 
1839, 1913 
1924, 1968 
1927, 2011 
1852, 1898 
1911, 1940 
1987, 2011 
1918, 2008 
1932, 1977 
1920, 2007 
1914, 1992 
1900, 1954 
1898, 1986 
1921, 1996 
1915, 2000 
1895, 1981 
1926, 2009 
1894, 1973 
1880, 1919 
0009, 2015 
1813, 1882 
1870, 1930 
1875, 1944 
1787, 1853 
1903, 1953 
1877, 1917 
1914, 2009 
1949, 2008 
1980, 2013 
1877, 1898 
1929, 1992 
1931, 2005 
1950, 1996 
1796, 1864 
1850, 1920 
1925, 1991 
1958, 2007 
1829, 1905 
1920, 1994 
1885, 1959 
1931, 1967 
1941, 2012 
1939, 2005 
1915, 1963 
1934, 1971 
1958, 2005 
1927, 1996 
1912, 1992 
1937, 2010 
1911, 1990 
1936, 2011 
1885, 1913 
1945, 2013 
1943, 2009 
1925, 2002 
1929, 2009 
1904, 1970 
1914, 1978 
1862, 1931 
1899, 1985 
1926, 1991 
1882, 1951 
1893, 1918 
1921, 2011 
1918, 1999 
1908, 1993 
1897, 1918 
1926, 1969 
1881, 1969 
1897, 1979 
1960, 2014 
1930, 2010 
1867, 1901 
1872, 1900 
1897, 1979 
1898, 1953 
1884, 1966 
1915, 2011 
1913, 1966 
1934, 2010 
1934, 2003 
1916, 1969 
1845, 1914 
1880, 1964 
1872, 1915 
1884, 1967 
1913, 1974 
1876, 1957 
1905, 1995 
1936, 2009 
1925, 2009 
1944, 2010 
1946, 2012 
1918, 2009 
1920, 1994 
1977, 2007 
1926, 1986 
1862, 1957 
1939, 1997 
1915, 1988 
1890, 1968 
1883, 1971 
1888, 1925 
1891, 1982 
1905, 1983 
1940, 1990 
1858, 1941 
1904, 1958 
1904, 2002 
1927, 2010 
1908, 2009 
1955, 2012 
1876, 1973 
1922, 1989 
1916, 1998 
1902, 1969 
1938, 1999 
1879, 1959 
1863, 1938 
1923, 2008 
1960, 2001 
1875, 1972 
1869, 1954 
1863, 1901 
1897, 1965 
1916, 2006 
1918, 1971 
1908, 1998 
1889, 1970 
1914, 2003 
1867, 1921 
1900, 1983 
1937, 1965 
1888, 1965 
1802, 1887 
1870, 1951 
1833, 1901 
1879, 1949 
1930, 2002 
1831, 1879 
1917, 2008 
1916, 1997 
1871, 1941 
1872, 1951 
1885, 1947 
1930, 2015 
